mm-yyyy,mm/yyyy,yyyy-mm,mmm_yyyy,Date,Location,Covid_Vacs_Administered,Covid_Vacs_Administered (In thousands),Covid_Vacs_Administered (in millions),MMWR_week
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,DE,9584,9.58,0.01,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,DE,99954,99.95,0.1,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,DE,219312,219.31,0.22,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,DE,463476,463.48,0.46,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,DE,759503,759.5,0.76,17
May-21,May-21,2021/05,May-21,5/31/2021,DE,941707,941.71,0.94,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,DE,1039175,1039.18,1.04,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,DE,1059611,1059.61,1.06,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,FL,213031,213.03,0.21,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,FL,1959626,1959.63,1.96,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,FL,5044420,5044.42,5.04,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,FL,9563326,9563.33,9.56,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,FL,15159919,15159.92,15.16,17
May-21,May-21,2021/05,May-21,5/31/2021,FL,18821195,18821.2,18.82,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,FL,21063050,21063.05,21.06,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,FL,21571442,21571.44,21.57,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,FM,0,0,0,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,FM,3965,3.97,0,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,FM,14715,14.72,0.01,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,FM,24992,24.99,0.02,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,FM,34536,34.54,0.03,17
May-21,May-21,2021/05,May-21,5/31/2021,FM,43553,43.55,0.04,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,FM,50507,50.51,0.05,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,FM,53048,53.05,0.05,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,GA,75157,75.16,0.08,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,GA,906186,906.19,0.91,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,GA,2072451,2072.45,2.07,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,GA,3855859,3855.86,3.86,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,GA,6306091,6306.09,6.31,17
May-21,May-21,2021/05,May-21,5/31/2021,GA,7561722,7561.72,7.56,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,GA,8422803,8422.8,8.42,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,GA,8607149,8607.15,8.61,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,GU,2118,2.12,0,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,GU,22454,22.45,0.02,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,GU,55213,55.21,0.06,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,GU,87540,87.54,0.09,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,GU,130489,130.49,0.13,17
May-21,May-21,2021/05,May-21,5/31/2021,GU,161295,161.3,0.16,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,GU,187840,187.84,0.19,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,GU,194913,194.91,0.19,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,HI,24992,24.99,0.02,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,HI,129267,129.27,0.13,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,HI,382798,382.8,0.38,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,HI,705568,705.57,0.71,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,HI,1225187,1225.19,1.23,17
May-21,May-21,2021/05,May-21,5/31/2021,HI,1591518,1591.52,1.59,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,HI,1678171,1678.17,1.68,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,HI,1697443,1697.44,1.7,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,IA,45589,45.59,0.05,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,IA,252202,252.2,0.25,5
